topic,total_queries_issued,total_snippets_examined,total_documents_examined,total_documents_marked_relevant,num_rel,num_ret,num_rel_ret,p5,p10,p20,map,accuracy
303,1,68,25,25,86,25,25,1,1,1,0.2907,1
307,1,53,25,25,242,25,25,1,1,1,0.1033,1
310,1,391,15,15,65,15,15,1,1,0.75,0.2308,1
314,1,566,10,10,76,10,10,1,1,0.5,0.1316,1
322,1,636,8,8,65,8,8,1,0.8,0.4,0.1231,1
325,1,44,25,25,280,25,25,1,1,1,0.0893,1
330,1,45,25,25,193,25,25,1,1,1,0.1295,1
336,1,77,24,24,42,24,24,1,1,1,0.5714,1
341,1,461,13,13,37,13,13,1,1,0.65,0.3514,1
344,1,350,17,17,123,17,17,1,1,0.85,0.1382,1
345,1,671,7,7,9,7,7,1,0.7,0.35,0.7778,1
347,1,67,25,25,165,25,25,1,1,1,0.1515,1
353,1,484,13,13,21,13,13,1,1,0.65,0.619,1
354,1,139,23,23,376,23,23,1,1,1,0.0612,1
362,1,37,26,26,175,26,26,1,1,1,0.1486,1
363,1,253,19,19,111,19,19,1,1,0.95,0.1712,1
367,1,243,20,20,95,20,20,1,1,1,0.2105,1
372,1,239,20,20,60,20,20,1,1,1,0.3333,1
374,1,31,26,26,278,26,26,1,1,1,0.0935,1
375,1,123,23,23,50,23,23,1,1,1,0.46,1
378,1,146,22,22,52,22,22,1,1,1,0.4231,1
383,1,146,22,22,137,22,22,1,1,1,0.1606,1
389,1,216,20,20,153,20,20,1,1,1,0.1307,1
393,1,124,23,23,97,23,23,1,1,1,0.2371,1
394,1,28,26,26,71,26,26,1,1,1,0.3662,1
397,1,706,6,6,88,6,6,1,0.6,0.3,0.0682,1
399,1,43,25,25,232,25,25,1,1,1,0.1078,1
401,1,619,9,9,83,9,9,1,0.9,0.45,0.1084,1
404,1,42,25,25,299,25,25,1,1,1,0.0836,1
408,1,165,22,22,183,22,22,1,1,1,0.1202,1
409,1,51,25,25,151,25,25,1,1,1,0.1656,1
416,1,47,25,25,163,25,25,1,1,1,0.1534,1
419,1,636,8,8,17,8,8,1,0.8,0.4,0.4706,1
426,1,56,25,25,177,25,25,1,1,1,0.1412,1
427,1,391,15,15,58,15,15,1,1,0.75,0.2586,1
433,1,706,6,6,27,6,6,1,0.6,0.3,0.2222,1
435,1,77,24,24,152,24,24,1,1,1,0.1579,1
436,1,61,25,25,356,25,25,1,1,1,0.0702,1
439,1,286,18,18,127,18,18,1,1,0.9,0.1417,1
443,1,35,26,26,240,26,26,1,1,1,0.1083,1
448,1,229,20,20,121,20,20,1,1,1,0.1653,1
622,1,30,26,26,155,26,26,1,1,1,0.1677,1
625,1,531,11,11,109,11,11,1,1,0.55,0.1009,1
638,1,36,26,26,180,26,26,1,1,1,0.1444,1
639,1,101,24,24,165,24,24,1,1,1,0.1455,1
648,1,28,26,26,64,26,26,1,1,1,0.4062,1
650,1,496,12,12,32,12,12,1,1,0.6,0.375,1
651,1,356,16,16,97,16,16,1,1,0.8,0.1649,1
658,1,70,25,25,116,25,25,1,1,1,0.2155,1
689,1,65,25,25,110,25,25,1,1,1,0.2273,1
